TOTAL MSE: 5.0576923076923075

TOTAL RMSE: 2.2489313701605718

TOTAL R2SCORE: 0.6080813870181975

MSE FOR EACH COUNT: 

HumanSum
0       0.313433
1       0.881356
2       1.472222
3       2.424242
4       4.222222
5       7.300000
6      10.318182
7      14.923077
8      18.125000
9      20.428571
10     17.833333
11     18.500000
12      2.500000
13      3.666667
15     12.500000
16     39.000000
18      1.000000
21    100.000000
dtype: float64


img counts {1: 59, 3: 33, 4: 27, 9: 7, 5: 20, 0: 67, 2: 36, 6: 22, 7: 13, 8: 8, 10: 6, 13: 3, 11: 2, 16: 3, 15: 2, 12: 2, 21: 1, 18: 1}


